Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
24610;163195;15;0;0;0;0;.00nan;0;0
24610;59540;0;68;45;5;40;.889;3600000;0
24611;166591;20;83;53;5;48;.906;3580000;0
24611;183783;20;0;0;0;0;.00nan;0;0
24611;196090;4838;0;0;0;0;.00nan;0;0
24611;185743;4838;49;26;4;22;.846;3600000;0
24612;194416;17;69;32;3;29;.906;3600000;0
24612;178413;17;0;0;0;0;.00nan;0;0
24612;77955;28;66;10;0;10;1.000;544000;0
24612;85437;28;47;35;6;29;.829;3056000;0
24613;320;21;0;0;0;0;.00nan;0;0
24613;3284;21;78;35;2;33;.943;3585000;0
24613;149452;31;0;0;0;0;.00nan;0;0
24613;152717;31;74;22;1;21;.955;3600000;0
24614;168872;24;0;0;0;0;.00nan;0;0
24614;85727;24;63;31;3;28;.903;3600000;0
24614;139409;3;0;0;0;0;.00nan;0;0
24614;148958;3;100;31;0;31;1.000;3600000;0
24615;165723;32;0;0;0;0;.00nan;0;0
24615;20432;32;60;35;5;30;.857;3565000;0
24615;175084;22;63;32;4;28;.875;3600000;0
24615;184770;22;0;0;0;0;.00nan;0;0
24616;162029;4182;0;0;0;0;.00nan;0;0
24616;172340;4182;89;28;2;26;.929;3600000;0
24616;183844;29;0;0;0;0;.00nan;0;0
24616;173699;29;63;44;5;39;.886;3600000;0
24617;13714;8;71;38;4;34;.895;3600000;0
24617;183904;34;0;0;0;0;.00nan;0;0
24617;58830;8;0;0;0;0;.00nan;0;0
24617;78806;34;92;26;1;25;.962;3600000;0
24618;170977;30;0;0;0;0;.00nan;0;0
24618;-1;5;0;0;0;0;.00nan;0;0
24618;61425;5;84;27;1;26;.963;3600000;0
24618;86697;30;70;26;2;24;.923;3563000;0
24619;170314;25;0;0;0;0;.00nan;0;0
24619;175092;9;0;0;0;0;.00nan;0;0
24619;190106;9;100;28;0;28;1.000;3600000;0
24619;191813;25;82;25;1;24;.960;3573000;0
24620;184229;35;0;0;0;0;.00nan;0;0
24620;179154;26;0;0;0;0;.00nan;0;0
24620;57338;35;89;37;3;34;.919;3982000;0
24620;152835;26;68;26;2;24;.923;3982000;0
24621;556;33;94;45;2;43;.956;4200000;0
24621;187537;19;0;0;0;0;.00nan;0;0
24621;178384;19;66;28;2;26;.929;4200000;0
24621;197038;33;0;0;0;0;.00nan;0;0
24622;197940;11;91;45;3;42;.933;3600000;0
24622;174718;12;0;0;0;0;.00nan;0;0
24622;45323;11;0;0;0;0;.00nan;0;0
24622;85798;12;57;30;4;26;.867;3544000;0
24623;183859;23;78;17;0;17;1.000;1668000;0
24623;175912;14;0;0;0;0;.00nan;0;0
24623;185034;14;65;17;1;16;.941;3600000;0
24623;78573;23;39;22;4;18;.818;1932000;0
24624;167642;18;0;0;0;0;.00nan;0;0
24624;173727;18;69;25;2;23;.920;3600000;0
24624;186573;16;0;0;0;0;.00nan;0;0
24624;50065;16;57;34;4;30;.882;3600000;0
24625;187578;10;87;44;2;42;.955;3525000;0
24625;179452;27;0;0;0;0;.00nan;0;0
24625;175660;27;93;26;0;26;1.000;3600000;0
24625;90164;10;0;0;0;0;.00nan;0;0
24626;3928;15;51;16;3;13;.813;3646000;0
24626;163195;15;0;0;0;0;.00nan;0;0
24626;168872;24;80;30;2;28;.933;3646000;0
24626;85727;24;0;0;0;0;.00nan;0;0
24627;175092;9;0;0;0;0;.00nan;0;0
24627;190106;9;96;41;2;39;.951;3600000;0
24627;196090;4838;0;0;0;0;.00nan;0;0
24627;185743;4838;51;26;4;22;.846;3564000;0
24628;320;21;0;0;0;0;.00nan;0;0
24628;3284;21;88;44;3;41;.932;3600000;0
24628;170977;30;0;0;0;0;.00nan;0;0
24628;86697;30;84;14;0;14;1.000;3600000;0
24629;184229;35;0;0;0;0;.00nan;0;0
24629;-1;5;0;0;0;0;.00nan;0;0
24629;57338;35;95;30;1;29;.967;3600000;0
24629;61425;5;61;28;3;25;.893;3559000;0
24630;166591;20;76;30;2;28;.933;3600000;0
24630;183783;20;0;0;0;0;.00nan;0;0
24630;139409;3;0;0;0;0;.00nan;0;0
24630;148958;3;85;26;1;25;.962;3600000;0
24631;556;33;84;41;3;38;.927;3580000;0
24631;187578;10;0;0;0;0;.00nan;0;0
24631;197038;33;0;0;0;0;.00nan;0;0
24631;90164;10;85;33;2;31;.939;3600000;0
24632;13714;8;45;37;6;31;.838;3600000;0
24632;175084;22;0;0;0;0;.00nan;0;0
24632;184770;22;54;24;3;21;.875;3600000;0
24632;58830;8;0;0;0;0;.00nan;0;0
24633;162029;4182;0;0;0;0;.00nan;0;0
24633;172340;4182;88;21;0;21;1.000;3600000;0
24633;149452;31;0;0;0;0;.00nan;0;0
24633;152717;31;75;56;6;50;.893;3600000;0
24634;194416;17;0;0;0;0;.00nan;0;0
24634;178413;17;85;36;2;34;.944;3600000;0
24634;183904;34;81;21;1;20;.952;3600000;0
24634;78806;34;0;0;0;0;.00nan;0;0
24635;166646;0;0;0;0;0;.00nan;0;0
24635;165723;32;86;20;0;20;1.000;3600000;0
24635;20432;32;0;0;0;0;.00nan;0;0
24635;59540;0;92;46;3;43;.935;3600000;0
24636;183859;23;0;0;0;0;.00nan;0;0
24636;179154;26;0;0;0;0;.00nan;0;0
24636;78573;23;38;28;5;23;.821;3600000;0
24636;152835;26;100;29;0;29;1.000;3600000;0
24637;187537;19;76;27;2;25;.926;3544000;0
24637;178384;19;0;0;0;0;.00nan;0;0
24637;175912;14;0;0;0;0;.00nan;0;0
24637;185034;14;75;24;1;23;.958;3600000;0
24638;170314;25;91;29;1;28;.966;3600000;0
24638;179452;27;0;0;0;0;.00nan;0;0
24638;175660;27;51;33;5;28;.848;3600000;0
24638;191813;25;0;0;0;0;.00nan;0;0
24639;320;21;69;41;4;37;.902;3600000;0
24639;162029;4182;0;0;0;0;.00nan;0;0
24639;3284;21;0;0;0;0;.00nan;0;0
24639;172340;4182;46;29;5;24;.828;3590000;0
24640;168872;24;0;0;0;0;.00nan;0;0
24640;77955;28;72;34;3;31;.912;3526000;0
24640;85437;28;0;0;0;0;.00nan;0;0
24640;85727;24;100;43;1;42;.977;3600000;0
24641;556;33;0;0;0;0;.00nan;0;0
24641;3928;15;0;0;0;0;.00nan;0;0
24641;163195;15;39;23;4;19;.826;3600000;0
24641;197038;33;36;56;9;47;.839;3600000;0
24642;167642;18;0;0;0;0;.00nan;0;0
24642;173727;18;89;20;0;20;1.000;3600000;0
24642;186573;16;68;35;3;32;.914;3600000;0
24642;50065;16;0;0;0;0;.00nan;0;0
24643;197940;11;54;22;3;19;.864;2500000;0
24643;179154;26;0;0;0;0;.00nan;0;0
