Game Id;Date Year;Date Month;Date Day;Arena;Attendance;Team Home;Team Away;Score Home;Score Away;Score Home P1;Score Home P2;Score Home P3;Score Home OT;Score Home SO;Score Away P1;Score Away P2;Score Away P3;Score Away OT;Score Away SO;Star 1;Star 2;Star 3;Shots Home;Shots Away;PIM Home;PIM Away;Hits Home;Hits Away;GA Home;GA Away;TA Home;TA Away;FOW Home;FOW Away;SOG Home P1;SOG Home P2;SOG Home P3;SOG Home OT;SOG Away P1;SOG Away P2;SOG Away P3;SOG Away OT;PPG Home;PPO Home;PPG Away;PPO Away;Type;SQ0 Home;SQ1 Home;SQ2 Home;SQ3 Home;SQ4 Home;SQ0 Away;SQ1 Away;SQ2 Away;SQ3 Away;SQ4 Away
74;2033;10;8;Xcel Energy Center;15745;35;24;3;6;0;0;3;0;0;1;2;3;0;0;82401;168391;59176;85;57;10;6;18;18;5;11;6;4;35;27;16;14;16;0;9;9;15;0;0;3;0;5;Regular Season;13;37;15;14;6;7;27;11;9;3
75;2033;10;8;United Center;22337;8;15;1;0;1;0;0;0;0;0;0;0;0;0;13714;75198;38057;43;58;2;0;33;20;6;11;4;4;16;25;7;5;7;0;15;13;8;0;0;0;0;1;Regular Season;11;13;11;7;1;1;26;16;13;2
76;2033;10;8;Rogers Arena;16053;18;32;6;2;1;4;1;0;0;0;0;2;0;0;57224;78619;173556;60;54;4;6;21;21;5;3;4;6;25;36;7;14;9;0;2;16;8;0;1;3;1;2;Regular Season;9;25;11;13;2;9;22;6;11;6
77;2033;10;8;T-Mobile Arena;9771;4182;21;1;2;0;1;0;0;0;0;2;0;0;0;146358;62280;57175;56;62;2;16;23;20;5;7;7;4;24;22;7;15;7;0;9;6;11;0;0;3;0;1;Regular Season;9;23;12;11;1;14;24;11;9;4
78;2033;10;8;SAP Center;16477;27;9;5;0;2;1;2;0;0;0;0;0;0;0;79273;84964;170537;75;42;6;17;14;19;8;3;7;10;32;17;19;16;15;0;5;2;4;0;1;3;0;3;Regular Season;4;40;15;12;4;16;14;6;4;2
79;2033;10;9;TD Garden;15420;5;30;5;3;1;3;1;0;0;2;1;0;0;0;44163;74665;85789;55;52;2;6;27;24;6;0;4;7;25;25;8;7;6;0;11;10;7;0;2;3;0;1;Regular Season;14;17;12;9;3;6;27;7;9;3
80;2033;10;9;Scotiabank Saddledome;11707;19;9;3;1;1;0;2;0;0;1;0;0;0;0;91648;57824;78579;74;57;10;12;15;20;14;8;7;5;38;25;9;12;15;0;13;12;8;0;1;6;0;5;Regular Season;5;40;17;10;2;7;27;12;11;0
81;2033;10;10;Bell Centre;20068;0;17;5;0;1;3;1;0;0;0;0;0;0;0;91178;170749;85219;63;46;8;8;27;21;4;5;5;3;27;32;13;15;5;0;4;4;20;0;1;4;0;4;Regular Season;9;25;11;14;4;8;17;12;7;2
82;2033;10;11;UBS Arena;15636;20;28;3;4;0;2;1;0;0;1;2;1;0;0;140433;14303;36114;84;47;8;16;12;27;7;5;8;9;28;24;18;25;13;0;7;6;6;0;1;3;1;4;Regular Season;3;41;22;12;6;11;15;7;10;4
83;2033;10;11;Wells Fargo Center;16261;14;19;2;5;0;2;0;0;0;3;2;0;0;0;58832;86165;85864;46;59;4;12;25;20;8;9;5;8;33;28;9;6;5;0;16;8;7;0;0;1;0;2;Regular Season;7;22;8;8;1;8;36;9;6;0
84;2033;10;11;Scotiabank Arena;18711;3;0;2;4;0;0;2;0;0;0;1;3;0;0;31454;85998;699;48;80;30;16;22;16;7;6;10;8;31;40;4;5;12;0;17;20;9;0;0;8;2;10;Regular Season;7;22;14;1;4;11;38;16;8;7
