TeamId;GP;G;GA;S;SA;FO%;SB;H;TkA;GvA;InD;PIM/G;PP Ch;PPG;SH GA;SH Ch;PP GA;SHG;Att Total Home;Att Total Away;Att Avg Home;Att Avg Away;Sellouts Home;Sellouts Away;Capacity Use %
51;33;96;109;903;1228;50.5;597;638;154;172;0;13.09;155;31;2;157;25;0;66822;124750;4773;6565;0;0;48
52;34;112;90;1190;974;50.3;498;858;196;186;0;13.03;167;25;1;154;21;1;83216;109122;4623;6820;0;0;55
53;33;107;105;1000;1130;52.3;533;686;183;221;0;13.70;149;31;1;166;20;4;190990;82344;11936;4843;0;0;76
54;31;62;131;671;1417;48.8;659;594;173;177;0;11.97;123;15;6;161;35;3;74764;90829;5340;5342;0;0;55
55;33;78;138;730;1416;46.7;683;586;175;173;0;12.82;129;20;4;173;47;0;27620;98229;1972;5169;0;0;52
56;31;93;70;984;877;45.8;445;670;175;146;0;12.61;130;17;3;136;24;2;35485;90161;2217;6010;0;0;68
57;33;88;101;948;1117;48.4;558;663;192;186;0;12.24;143;18;3;148;28;2;64989;56067;3094;4672;0;0;36
58;32;67;152;747;1362;46.7;671;726;172;200;0;14.59;133;18;5;152;40;3;45712;95136;2857;5946;0;0;42
59;32;141;54;1414;628;55.3;359;642;195;183;0;13.56;159;41;3;147;14;4;69976;124566;4665;7327;0;0;56
60;31;109;90;1032;906;50.0;436;659;209;168;0;16.13;145;31;1;159;25;4;166434;80315;11888;4724;0;0;68
61;31;103;75;993;993;50.2;473;603;178;192;0;12.13;134;26;1;139;22;4;60890;64063;3204;5338;0;0;46
62;31;104;75;1266;717;52.6;363;656;157;176;0;12.00;133;28;4;131;23;2;139955;88055;9996;5179;0;0;77
63;31;73;130;918;1121;49.8;549;593;176;154;0;13.39;134;21;0;150;27;3;88423;68283;6315;4016;0;0;78
64;32;92;106;979;1146;51.1;534;652;176;155;0;13.41;158;26;7;153;26;1;171980;70238;9554;5017;0;0;57
65;35;97;108;1052;1157;48.9;544;654;177;234;0;14.54;168;28;4;187;37;5;75503;96294;5393;4585;0;0;51
67;34;67;125;849;1290;52.8;664;579;223;192;0;12.50;142;13;6;168;43;1;56761;89544;2987;5969;0;0;42
69;31;111;79;1135;911;50.2;445;569;172;149;0;11.58;137;23;1;142;21;6;39939;65971;2496;4398;0;0;46
71;34;95;115;1076;1126;53.2;522;594;214;153;0;13.15;169;29;5;162;21;7;99178;52786;5509;3299;0;0;79
72;31;125;59;1233;752;52.4;372;562;178;146;0;14.23;154;25;2;138;18;4;42532;75916;2658;5061;0;0;52
73;31;77;98;1054;867;48.5;464;578;170;160;0;14.10;146;20;6;140;17;2;64783;64142;4048;4276;0;0;54
74;32;82;129;887;1108;50.3;539;628;164;168;0;13.13;134;19;6;144;26;2;46072;84030;3071;4942;0;0;43
75;33;105;83;1130;943;48.5;482;793;182;218;0;12.48;157;22;1;138;20;3;52504;82052;3088;5128;0;0;44
76;32;84;126;954;1102;46.9;536;676;178;174;0;13.03;140;21;4;157;35;5;139500;49634;7342;3818;0;0;65
77;33;111;76;1105;895;52.5;397;562;223;161;0;12.55;139;27;2;149;18;3;35219;68609;2201;4035;0;0;33
78;32;82;95;831;1096;48.0;581;601;187;162;0;12.03;135;21;4;134;24;6;61543;57026;3419;4073;0;0;51
80;33;93;113;1052;1021;51.4;528;678;175;231;0;12.18;127;26;3;147;29;3;31065;114214;2218;6011;0;0;44
81;34;104;114;977;1188;50.3;626;728;193;191;0;15.88;157;26;1;169;36;2;100628;104536;7187;5226;0;0;70
82;33;74;103;926;1165;48.4;541;670;159;186;0;15.67;143;23;0;161;25;2;77614;68333;3880;5256;0;0;45
85;30;92;82;994;905;52.1;453;571;149;135;0;10.60;132;30;2;126;21;2;33715;69345;2408;4334;0;0;41
86;39;145;119;1311;1248;50.0;619;906;237;209;0;12.95;179;41;2;182;37;5;76371;104600;3818;5505;0;0;64
87;38;129;173;1141;1352;51.0;635;748;199;234;0;15.95;179;36;6;160;34;2;40701;82939;2035;4607;0;0;46
88;39;134;123;1324;1159;47.7;599;748;213;223;0;16.08;162;28;5;184;39;4;34420;91501;1639;5083;0;0;49
89;38;114;161;1028;1583;47.4;717;758;197;221;0;14.47;188;43;3;195;40;3;62857;111906;3492;5595;0;0;57
90;38;130;129;1278;1278;48.8;610;670;208;181;0;13.66;203;37;3;194;37;6;152139;102614;10142;4461;0;0;67
91;37;117;141;1138;1224;46.8;591;706;179;236;0;12.43;171;39;4;161;41;2;26827;105702;1341;6217;0;0;41
92;37;142;101;1318;1100;50.9;568;783;202;201;0;14.51;202;48;5;181;28;5;334282;105938;16714;6231;0;3;87
93;38;153;106;1387;1053;53.7;562;672;206;232;0;15.45;164;34;1;176;38;6;292994;88720;17234;4224;3;0;92
94;41;102;178;1140;1459;50.9;732;842;176;207;0;16.24;174;29;1;179;45;2;35190;113684;1675;5684;0;0;39
95;39;188;90;1717;864;52.7;392;763;208;226;0;12.38;174;42;2;152;17;5;50342;111814;2796;5324;0;0;51
96;37;97;145;917;1439;50.2;737;648;200;192;0;14.27;153;23;6;169;38;4;41769;148978;2457;7448;0;0;41
97;39;111;136;1215;1283;50.5;607;737;190;229;0;13.18;155;23;3;166;42;4;58437;110329;2921;5806;0;0;44
98;37;103;118;1030;1310;47.4;652;747;218;203;0;14.81;165;25;3;172;35;0;74893;79798;4160;4199;0;0;76
99;38;121;111;1175;1134;47.6;591;695;169;187;0;11.29;152;34;6;144;26;2;80497;92912;4236;4890;0;0;67
100;39;133;86;1363;1136;52.1;575;711;192;200;0;11.67;156;28;1;154;21;2;54542;83612;2870;4180;0;0;48
101;38;120;129;1117;1059;51.7;553;679;220;226;0;12.50;147;40;1;170;35;4;63361;84864;3168;4714;0;0;60
102;40;131;142;1334;1245;50.6;571;706;201;234;0;14.40;193;36;4;186;45;3;93665;90368;4929;4303;0;0;70
103;40;104;133;1027;1258;50.7;640;719;230;211;0;13.60;166;35;0;175;28;3;101527;94869;5076;4743;0;0;62
104;35;111;121;1081;1063;51.5;536;688;189;235;0;11.26;145;29;3;130;30;4;193200;67437;9660;4495;0;0;75
105;36;123;110;948;1200;49.9;617;630;199;161;0;13.17;152;19;3;174;34;2;85552;76477;4277;4779;0;0;66
106;37;152;115;1450;939;49.9;477;743;233;213;0;11.32;163;39;4;123;27;1;140322;85794;7016;5046;0;0;65
107;34;130;123;1077;1130;47.5;588;713;189;202;0;14.53;140;45;4;156;32;2;45907;104939;3060;5523;0;0;51
108;37;146;113;1294;1005;52.8;426;696;229;222;0;15.59;158;42;3;147;34;5;33498;62057;1970;3102;0;0;67
109;36;82;156;826;1487;49.0;758;673;145;203;0;15.50;145;16;4;168;39;5;61709;58325;3085;3645;0;0;55
110;36;156;108;1354;1003;49.5;443;707;181;194;0;17.17;185;43;4;186;30;5;90405;53517;4758;3148;0;0;78
111;37;122;123;1125;1176;49.8;619;785;209;174;0;14.08;162;33;2;163;28;3;100699;58193;5299;3232;0;0;54
112;37;110;148;1057;1185;50.0;573;667;192;190;0;15.57;188;30;6;174;40;2;26606;72688;1662;3461;0;0;38
