Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
79;1;1034;31472;170061;;30;ES;1
79;2;47;182142;31511;3093;5;ES;4
79;2;54;165195;44163;13304;5;ES;4
79;2;346;44163;85789;91729;5;PP;1
79;2;1154;175763;164293;74665;30;ES;3
79;3;1189;364;85789;;5;ES, ENG;3
80;1;417;86055;57824;;9;ES;1
80;1;1034;78579;79106;288;19;ES;1
80;3;632;171718;58832;91648;19;ES;3
80;3;775;85864;49712;77070;19;PP;1
81;1;461;170749;78805;;0;ES;1
81;2;95;170749;168246;85219;0;ES;1
81;2;328;84983;57427;86125;0;ES;2
81;2;885;19695;31454;1302;0;PP;2
81;3;999;85219;37058;18099;0;ES;3
82;1;617;178447;85779;140433;28;PP;4
82;2;74;47167;36114;140433;28;ES;1
82;2;102;14303;85970;23067;20;ES;3
82;2;469;74858;143375;14303;20;ES;3
82;2;1115;178624;163065;;28;ES;3
82;3;601;86053;36114;178447;28;ES;4
82;3;778;27809;143375;18207;20;PP;3
83;1;386;86165;18330;58832;19;ES;1
83;1;433;85864;58832;86165;19;ES;3
83;1;476;79250;59607;85864;19;ES;1
83;2;85;78579;78585;79106;19;ES;3
83;2;221;58832;91648;18330;19;ES;2
83;2;530;79113;85790;129;14;ES;3
83;2;598;84952;35327;86584;14;ES;4
84;2;578;85003;699;85244;0;PP;2
84;3;575;15888;18099;699;0;ES;1
84;3;662;91655;31454;;0;PP;1
84;3;1054;77087;170432;85998;3;ES;4
84;3;1123;18992;86924;4924;3;ES;4
84;3;1161;1302;31454;19695;0;ES;2
85;1;714;91652;77073;;31;ES;1
85;1;1055;31087;85723;15909;15;PP;3
85;2;684;13164;77073;89779;31;ES;3
85;2;783;33862;86095;15909;15;ES;3
85;2;845;33862;85680;86095;15;ES;1
85;3;546;28252;86095;;15;ES;2
85;3;692;13164;91661;91180;31;PP;2
86;1;137;58391;63939;79023;10;ES;4
86;1;1117;84973;143334;59184;17;ES;3
86;2;113;43826;58812;79251;17;ES;4
86;2;242;167030;675;91183;10;ES;3
86;2;387;146396;91751;79251;17;ES;3
86;3;212;64889;18980;91183;10;ES;3
87;2;258;38265;6508;59176;24;PP;1
87;2;351;85213;176113;84986;26;ES;1
87;3;108;57891;4292;3340;26;ES;2
88;1;62;74916;59790;;11;ES;1
88;1;462;174222;78804;;11;ES;4
88;2;328;514;14435;178992;29;ES;1
88;2;498;78571;56012;77091;29;ES;4
88;3;45;78567;32996;;11;PP;1
88;3;655;77091;74845;85430;29;ES;3
88;OT1;131;146908;56012;14435;29;ES;3
89;2;1014;11983;36804;38057;8;PP;1
90;1;56;161392;6865;74943;4182;ES;1
90;1;610;170655;364;182142;5;ES;1
90;1;659;85099;91388;85789;5;PP;4
90;1;1158;11750;57856;;4182;ES;2
90;2;93;91729;171696;;5;ES;2
90;2;838;174886;11770;91204;5;ES;3
90;2;1070;169106;57335;91204;5;ES;2
90;2;1089;85099;91388;;5;PP;1
90;3;18;44163;91729;85789;5;PP;2
90;3;161;6865;57856;161392;4182;PP;1
90;3;179;84972;74740;10295;4182;ES;1
90;3;961;74943;161392;11750;4182;PP;4
90;3;1016;169021;91729;170655;5;ES;3
91;1;715;4814;175026;78680;9;ES;3
91;2;156;20;4814;;9;ES;2
