PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
32135;2026;175;33;1;0;0;0;0;0;0;0;0;57;0;2;2;0;3;0;2;0;889;50;96;0;0
32407;2026;3797;193;4;0;1;2;2;0;0;0;0;57;0;6;19;10;2;1;1;0;2362;14;533;0;0
32407;2025;427;46;2;0;1;0;-1;0;0;0;0;57;0;2;18;7;0;2;0;4;1261;0;213;0;0
32407;2024;427;46;3;0;0;0;-3;0;0;0;0;53;0;1;9;7;2;0;0;0;1493;60;340;0;0
32407;2023;427;46;4;1;0;2;0;0;0;0;0;59;0;6;33;16;0;1;0;3;2599;191;25;0;0
32408;2023;158;10;1;0;0;0;-3;0;0;0;0;38;0;0;0;0;0;0;0;3;888;0;193;0;0
32439;2026;3796;193;5;0;1;8;-2;0;0;0;0;56;0;9;5;3;5;1;0;0;4184;214;501;0;0
32439;2025;3796;193;4;0;1;2;-2;0;0;0;1;54;0;3;33;15;6;5;1;5;3170;207;1227;0;0
32439;2024;3796;193;3;1;2;2;-4;0;2;0;0;54;0;8;39;22;0;0;0;2;2494;436;267;0;0
32439;2023;3796;193;5;1;2;10;-2;0;1;0;0;61;0;6;4;0;4;2;2;5;3294;760;467;0;0
32656;2025;411;46;3;0;3;0;1;0;0;0;0;59;0;8;3;0;4;1;0;0;2317;155;0;0;0
32656;2024;411;46;4;1;0;2;-1;1;0;0;0;53;0;6;3;3;2;2;0;1;2974;95;0;0;0
32656;2023;411;46;2;0;2;0;-1;0;2;0;0;64;0;2;20;9;1;0;0;0;1235;369;0;0;0
32937;2024;611;16;7;0;2;0;2;0;0;0;1;58;0;5;3;2;2;2;1;2;4643;1467;110;0;0
32937;2023;611;16;7;1;1;0;-6;0;0;0;0;65;0;17;7;3;7;3;1;4;4883;938;396;0;0
32938;2026;41;1;1;0;0;0;0;0;0;0;0;57;0;1;7;4;0;0;0;0;456;138;0;0;0
32938;2025;64;1;1;0;0;0;-1;0;0;0;0;57;0;4;18;8;0;0;0;0;660;279;0;0;0
32938;2024;64;1;1;0;2;0;0;0;2;0;0;58;0;0;4;1;0;0;0;2;479;157;0;0;0
32938;2023;64;1;1;0;0;0;0;0;0;0;0;64;0;2;16;8;1;0;0;0;644;222;0;0;0
33101;2025;152;10;1;1;1;0;0;1;0;0;0;71;0;3;0;0;0;0;0;2;814;267;0;0;0
33101;2024;152;10;1;2;0;4;2;1;0;0;0;64;1;4;1;0;0;0;0;0;864;250;0;0;0
33101;2023;152;10;1;0;1;2;-2;0;0;0;0;63;0;0;0;0;1;0;1;2;929;109;0;0;0
33227;2026;1933;128;4;0;6;2;4;0;0;0;0;66;0;6;68;44;4;1;5;1;2798;14;836;0;0
33227;2025;1919;128;2;0;0;0;-3;0;0;0;0;58;0;1;14;6;2;0;1;3;1491;0;410;0;0
33262;2025;4337;29;4;0;1;0;-5;0;0;0;0;56;0;2;0;0;4;1;1;4;3671;589;326;0;0
33860;2026;440;46;3;0;0;0;0;0;0;0;0;57;0;4;0;0;0;1;1;7;3070;0;765;0;0
33860;2025;440;46;3;0;0;2;-1;0;0;0;0;54;0;0;0;0;3;0;1;2;2797;0;326;0;0
33860;2024;440;46;1;0;0;0;0;0;0;0;0;63;0;0;0;0;1;0;1;0;1042;0;58;0;0
33860;2023;440;46;2;2;0;2;3;1;0;0;0;68;0;4;0;0;0;2;1;4;1903;491;185;0;0
34215;2023;1505;14;4;0;1;14;0;0;1;0;0;68;0;6;0;0;3;1;0;5;3776;515;194;0;0
34232;2026;584;59;7;1;0;6;3;0;0;0;0;57;0;10;6;4;8;1;2;1;4904;354;23;0;0
34232;2025;584;59;5;1;2;2;-2;1;0;0;0;54;0;9;0;0;5;0;1;1;2917;74;176;0;0
35044;2026;149;10;1;0;0;0;2;0;0;0;0;59;0;1;0;0;0;0;0;1;900;0;192;0;0
35044;2025;149;10;1;0;1;0;2;0;0;0;0;58;0;0;0;0;2;0;0;1;841;0;245;0;0
35044;2024;1937;128;4;1;2;2;4;0;0;0;0;68;0;7;0;0;6;0;5;6;3769;595;168;0;0
35044;2023;1937;128;4;1;0;0;3;0;0;0;0;74;0;6;0;0;8;2;1;3;4243;206;302;0;0
35166;2023;432;46;4;0;1;0;1;0;0;0;0;64;0;3;18;6;7;1;2;4;2101;0;305;0;0
35227;2023;435;46;2;0;1;0;0;0;1;0;0;72;0;1;2;2;4;0;0;3;1639;297;487;0;0
35449;2026;174;33;1;0;0;0;0;0;0;0;0;64;0;3;0;0;1;0;0;0;1116;190;27;0;0
35449;2025;167;33;1;0;0;2;0;0;0;0;0;53;0;2;3;2;3;0;0;0;958;0;53;0;0
35449;2024;167;33;1;1;0;0;1;0;0;0;0;69;0;5;2;1;1;0;0;0;807;416;11;0;0
35449;2023;167;33;1;0;1;2;-1;0;0;0;0;63;0;1;3;0;1;2;0;2;1118;179;20;0;0
